n,rand_std,rand_hyb,rev_std,rev_hyb,alm_std,alm_hyb
41900,8,7,4,4,3,3
42000,8,7,4,4,3,3
42100,8,7,4,4,3,3
42200,8,7,4,4,2,2
42300,8,7,4,4,3,3
42400,8,7,4,4,3,2
42500,8,7,5,5,3,3
42600,9,8,5,4,3,4
42700,9,8,4,6,3,3
42800,9,8,4,4,3,2
42900,9,7,4,6,3,3
43000,9,7,4,4,3,3
43100,8,7,4,4,3,3
43200,8,8,4,4,3,3
43300,8,7,4,4,3,3
43400,9,8,5,5,3,3
43500,8,7,4,4,3,3
43600,8,8,4,4,3,3
43700,8,8,4,6,3,3
43800,8,7,4,4,3,3
43900,10,13,8,6,3,3
44000,10,8,5,5,3,3
44100,10,8,7,5,3,3
44200,10,9,5,5,3,3
44300,10,9,5,5,3,3
44400,10,9,5,5,5,3
44500,11,9,5,5,3,3
44600,10,12,6,6,5,5
44700,10,8,5,4,3,3
44800,9,9,5,4,3,3
44900,10,9,5,5,3,3
45000,10,9,5,5,3,3
45100,10,9,5,5,3,3
45200,13,13,7,7,3,3
45300,11,10,5,5,3,3
45400,12,12,6,8,4,4
45500,12,13,7,5,3,4
45600,16,15,7,8,8,7
45700,12,16,7,5,4,3
45800,10,10,5,5,3,3
45900,10,9,5,5,3,3
46000,10,10,6,5,3,4
46100,11,10,7,6,6,9
46200,17,13,5,6,4,5
46300,12,10,6,5,5,3
46400,11,12,7,5,4,3
46500,11,10,5,5,4,4
46600,11,9,5,5,4,4
46700,11,9,5,5,3,3
46800,10,10,5,5,4,4
46900,14,14,6,5,3,3
47000,11,10,5,6,3,4
47100,11,9,5,5,3,4
47200,10,10,5,5,3,4
47300,11,10,8,5,4,4
47400,11,10,5,5,3,3
47500,11,9,5,5,3,3
47600,10,9,5,5,3,3
47700,10,9,4,5,3,3
47800,10,9,6,5,6,4
47900,13,18,8,7,4,4
48000,11,10,5,5,4,4
48100,11,10,5,5,4,4
48200,11,10,5,5,4,3
48300,11,10,5,5,4,4
48400,12,12,6,6,4,4
48500,11,10,5,5,4,4
48600,12,10,5,5,4,4
48700,11,10,5,5,3,3
48800,10,10,4,5,4,3
48900,10,10,5,5,4,4
49000,11,10,5,5,4,4
49100,11,9,5,5,3,3
49200,10,10,5,6,4,3
49300,11,10,5,5,3,4
49400,11,8,5,5,4,3
49500,11,10,6,5,4,4
49600,12,10,6,5,4,4
49700,11,9,5,5,3,3
49800,11,9,6,5,3,4
49900,11,9,5,5,3,3
50000,9,8,5,5,4,4
50100,11,11,7,5,5,4
50200,12,11,6,6,4,3
50300,11,9,5,5,3,3
50400,11,10,5,5,4,3
50500,11,9,5,5,3,3
50600,10,9,5,5,3,3
50700,10,9,6,5,4,4
50800,14,11,6,5,5,4
50900,12,10,5,5,4,4
51000,11,10,6,5,4,4
51100,11,9,5,5,4,3
51200,11,10,5,6,4,4
51300,12,9,6,5,4,4
51400,11,10,5,5,4,4
51500,11,10,6,5,3,3
51600,11,10,5,5,3,3
51700,11,10,5,5,3,4
51800,11,9,5,5,4,3
51900,11,10,6,5,3,4
52000,12,10,6,5,4,4
52100,12,10,6,6,4,4
52200,11,10,6,5,4,3
52300,11,10,6,5,4,3
52400,11,9,5,6,3,3
52500,11,9,6,6,4,4
52600,13,11,6,7,4,4
52700,13,11,6,6,4,4
52800,11,9,5,5,4,4
52900,11,10,5,5,3,3
53000,11,11,5,5,3,3
53100,11,10,6,7,4,5
53200,13,11,6,6,4,4
53300,12,11,5,6,4,3
53400,11,10,6,5,3,4
53500,11,10,6,5,3,3
53600,10,10,5,6,4,3
53700,11,10,6,5,4,4
53800,12,10,5,6,4,4
53900,12,10,6,6,4,3
54000,11,10,6,6,4,4
54100,10,10,6,5,4,4
54200,11,10,5,6,3,4
54300,11,10,6,5,4,4
54400,11,10,5,5,3,3
54500,11,10,5,5,4,4
54600,11,10,6,7,4,4
54700,12,10,6,5,4,4
54800,10,9,5,5,4,4
54900,11,10,6,5,3,4
55000,11,10,5,5,4,3
55100,11,10,5,5,4,4
55200,11,10,5,5,3,3
55300,11,10,5,5,4,3
55400,11,10,6,6,5,4
55500,13,11,6,6,4,4
55600,12,11,5,7,4,3
55700,12,10,6,5,4,4
55800,11,10,6,6,4,4
55900,11,10,6,6,4,4
56000,11,10,6,5,4,4
56100,11,10,6,6,4,5
